dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,pk,ordinalPosition,pii,classification,sequenceName,V2
GTX,GRP,ADDRESS,ADDRESS,ADDRSS_NBR,Column,NUMBER,false,4,REAL,true,3,,,,
GTX,GRP,ADDRESS,ADDRESS,CELL_AREA_CD,Column,NUMBER,true,3,REAL,,40,,,,
GTX,GRP,ADDRESS,ADDRESS,CELL_NBR,Column,VARCHAR2,true,8,STRING,,41,true,TELEPHONE_NUMBER,,
GTX,GRP,ADDRESS,ADDRESS,CITY,Column,VARCHAR2,true,20,STRING,,21,,,,
GTX,GRP,ADDRESS,ADDRESS,CMMNT_TXT,Column,VARCHAR2,true,180,STRING,,29,true,NOTES,,
GTX,GRP,ADDRESS,ADDRESS,CO_ID,Column,VARCHAR2,false,2,STRING,true,1,,,,
GTX,GRP,ADDRESS,ADDRESS,DEPT_NM,Column,VARCHAR2,true,30,STRING,,16,,,,
GTX,GRP,ADDRESS,ADDRESS,EMAIL_ADDR,Column,VARCHAR2,true,320,STRING,,38,true,EMAIL,,
GTX,GRP,ADDRESS,ADDRESS,FAX_AREA_CD,Column,NUMBER,true,3,REAL,,27,,TELEPHONE_NUMBER,,
GTX,GRP,ADDRESS,ADDRESS,FAX_NBR,Column,VARCHAR2,true,8,STRING,,28,true,TELEPHONE_NUMBER,,
GTX,GRP,ADDRESS,ADDRESS,FLEXINSURE_FLG,Column,VARCHAR2,true,1,STRING,,37,,,,
GTX,GRP,ADDRESS,ADDRESS,FRGN_CNTRY_NM,Column,VARCHAR2,true,35,STRING,,23,,,,
GTX,GRP,ADDRESS,ADDRESS,GROUP_ID,Column,NUMBER,false,8,REAL,true,2,,,GROUP_ID_SEQ,
GTX,GRP,ADDRESS,ADDRESS,INTL_ADD_DT,Column,DATE,false,7,DATETIME,,30,,,,
GTX,GRP,ADDRESS,ADDRESS,INTL_ADD_EE_ID,Column,VARCHAR2,false,8,STRING,,31,,,,
GTX,GRP,ADDRESS,ADDRESS,LAST_UPDT_DT,Column,DATE,true,7,DATETIME,,32,,,,
GTX,GRP,ADDRESS,ADDRESS,LAST_UPDT_EE_ID,Column,VARCHAR2,true,8,STRING,,33,,,,
GTX,GRP,ADDRESS,ADDRESS,PHONE_AREA_CD,Column,NUMBER,true,3,REAL,,25,,TELEPHONE_NUMBER,,
GTX,GRP,ADDRESS,ADDRESS,PHONE_NBR,Column,VARCHAR2,true,8,STRING,,26,true,TELEPHONE_NUMBER,,
GTX,GRP,ADDRESS,ADDRESS,PO_BOX,Column,VARCHAR2,true,17,STRING,,20,,,,
GTX,GRP,ADDRESS,ADDRESS,PRMRY_FRST_NM,Column,VARCHAR2,true,15,STRING,,5,true,FIRST_NAME,,
GTX,GRP,ADDRESS,ADDRESS,PRMRY_LAST_NM,Column,VARCHAR2,true,20,STRING,,7,true,LAST_NAME,,
GTX,GRP,ADDRESS,ADDRESS,PRMRY_MDDL_NM,Column,VARCHAR2,true,15,STRING,,6,true,MIDDLE_NAME,,
GTX,GRP,ADDRESS,ADDRESS,PRMRY_NM_PRFX,Column,VARCHAR2,true,4,STRING,,4,,,,
GTX,GRP,ADDRESS,ADDRESS,PRMRY_NM_SFFX,Column,VARCHAR2,true,3,STRING,,8,,,,
GTX,GRP,ADDRESS,ADDRESS,PRMRY_NM_TITLE,Column,VARCHAR2,true,20,STRING,,9,,,,
GTX,GRP,ADDRESS,ADDRESS,RCPNT_NM,Column,VARCHAR2,true,180,STRING,,18,,,,
GTX,GRP,ADDRESS,ADDRESS,ROUTING_CD,Column,VARCHAR2,true,5,STRING,,17,true,ROUTING_NUMBER,,
GTX,GRP,ADDRESS,ADDRESS,SCNDRY_FRST_NM,Column,VARCHAR2,true,15,STRING,,11,true,FIRST_NAME,,
GTX,GRP,ADDRESS,ADDRESS,SCNDRY_LAST_NM,Column,VARCHAR2,true,20,STRING,,13,true,LAST_NAME,,
GTX,GRP,ADDRESS,ADDRESS,SCNDRY_MDDL_NM,Column,VARCHAR2,true,15,STRING,,12,true,MIDDLE_NAME,,
GTX,GRP,ADDRESS,ADDRESS,SCNDRY_NM_PRFX,Column,VARCHAR2,true,4,STRING,,10,,,,
GTX,GRP,ADDRESS,ADDRESS,SCNDRY_NM_SFFX,Column,VARCHAR2,true,3,STRING,,14,,,,
GTX,GRP,ADDRESS,ADDRESS,SCNDRY_NM_TITLE,Column,VARCHAR2,true,20,STRING,,15,,,,
GTX,GRP,ADDRESS,ADDRESS,STRT_ADDR,Column,VARCHAR2,true,30,STRING,,19,true,HOUSE,,
GTX,GRP,ADDRESS,ADDRESS,STRT_ADDR2,Column,VARCHAR2,true,30,STRING,,35,true,LOT,,
